"","Alegria","Tristesa","Sorpresa","Irritacio","Despreci","Amor","Emocposit","Emocnegat","Animacio","Relaxacio"
"sil60db_mean",-0.263916730539877,0.131911944883346,-0.0314077755818316,0.224142796238408,0.201973873369151,0.075212371136324,-0.372962580841716,-0.135258170954486,-0.252404220251474,0.220616639350558
"centroid_mean",-0.192975374855006,-0.038393635533338,0.162103525014287,0.364352280338398,0.303551372568916,-0.191514578959619,-0.116901411036018,-0.352746574563405,-0.162566839075951,0.106738190469559
"coeff0_mean",0.0494913489524714,0.047612621694965,-0.123035090107494,-0.20133418608154,-0.174412837463292,0.175571663143219,-0.0616698124173553,0.0669452645970274,-0.0472938271799715,-0.0545769909123248
"coeff1_mean",-0.116651216297106,0.299972482166861,-0.14436081175732,-0.0393970957882522,-0.0281552307429986,0.446725256898041,-0.372991688569713,0.128469218292411,-0.160003044121957,0.29741386903254
"coeff2_mean",-0.0404612106815894,0.243718574706618,-0.127497784741317,-0.042426056979635,-0.0190762868086943,0.382616869852209,-0.280229941768708,0.141362533521557,-0.0798139075306676,0.188342575854052
"coeff3_mean",-0.0556577184658311,0.232994068601047,-0.135738693473897,0.0167945369200468,0.0345133154939348,0.359622150631603,-0.283295943421656,0.134871250180801,-0.0495578891200162,0.218070236699847
"coeff4_mean",-0.0338359758758479,0.165927231826078,-0.0508185492854748,0.125023506236793,0.091910345979515,0.28157902933746,-0.176553870442875,-0.0251828112400709,-0.0559858554502815,0.208808247393725
"coeff5_mean",0.165215231242013,-0.186088566462528,0.147795406025186,0.0613426140072883,0.0451167922433899,-0.257487427383801,0.33016124061086,-0.162749454685384,0.202909895281601,-0.0402640647508676
"valley0_mean",0.266709654334178,-0.139828875247631,-0.0473571444838245,-0.26518218027129,-0.233985562960589,-0.0386866627369409,0.350517522288733,0.173825056935435,0.255857655306865,-0.205325881737841
"valley1_mean",0.272019802039245,-0.155331563590338,-0.0137284828470895,-0.219035026723915,-0.196189683970437,-0.0367748063869991,0.340752153148609,0.154278324007085,0.242502455399851,-0.18854621749583
"valley2_mean",0.276499563567423,-0.1706552240891,0.0305336067376058,-0.149267723409133,-0.135470009737139,-0.0625452370096087,0.350294196234139,0.0845984401418004,0.245250433415742,-0.175468121604477
"valley3_mean",0.262130066211322,-0.173522476507996,0.0303392053830336,-0.125707611153475,-0.11967675765872,-0.0730994987665637,0.350270370562408,0.0551058708388546,0.226933092212839,-0.16070480816651
